ablation,n_features,auroc,delta
Full interpretable set,28,0.7411884510429791,0.0
minus Substitution,19,0.6935110232768155,-0.04767742776616368
minus Local context,20,0.7066140164273176,-0.034574434615661565
minus Cysteine / redox,24,0.7408172079600557,-0.00037124308292346697
minus Structural perturbation,25,0.7415808361048621,0.0003923850618829938
minus Composite mechanistic,26,0.7394633662359575,-0.001725084807021604
minus Position (relative),26,0.7411096720023317,-7.877904064745866e-05
Substitution alone,9,0.6707621280710612,-0.07042632297191798
Local context alone,8,0.6547692277489481,-0.08641922329403107
Cysteine / redox alone,4,0.5539017270479907,-0.18728672399498847
Structural perturbation alone,3,0.4530571301575732,-0.28813132088540594
Composite mechanistic alone,2,0.5240870062907454,-0.2171014447522337
Position (relative) alone,2,0.5059070437523187,-0.2352814072906605
