bin,lo,hi,n,mean_score,observed_rate,gap,predictor
0,0.0,0.1,6773,0.07114519415325557,0.03130075298981249,0.03984444116344308,alphamissense
1,0.1,0.2,2916,0.13738443072702333,0.21536351165980797,0.07797908093278463,alphamissense
2,0.2,0.30000000000000004,1105,0.2461372850678733,0.4642533936651584,0.21811610859728509,alphamissense
3,0.30000000000000004,0.4,831,0.3467984356197352,0.6450060168471721,0.29820758122743685,alphamissense
4,0.4,0.5,657,0.4487958904109589,0.7229832572298326,0.2741873668188737,alphamissense
5,0.5,0.6000000000000001,650,0.5500870769230769,0.7676923076923077,0.21760523076923077,alphamissense
6,0.6000000000000001,0.7000000000000001,758,0.651429419525066,0.8271767810026385,0.17574736147757253,alphamissense
7,0.7000000000000001,0.8,898,0.7545567928730513,0.8752783964365256,0.12072160356347428,alphamissense
8,0.8,0.9,1416,0.8551820621468927,0.9251412429378532,0.06995918079096042,alphamissense
9,0.9,1.0,6882,0.9759730601569311,0.9792211566405115,0.003248096483580376,alphamissense
0,0.0,0.1,6078,0.044751378424699756,0.019907864429088516,0.02484351399561124,varity
1,0.1,0.2,1849,0.14226800590633987,0.1157382368848026,0.026529769021537267,varity
2,0.2,0.30000000000000004,949,0.2483954325985374,0.23709167544783982,0.011303757150697591,varity
3,0.30000000000000004,0.4,701,0.34814603191420607,0.37375178316690444,0.025605751252698372,varity
4,0.4,0.5,647,0.44989695547883096,0.4760432766615147,0.02614632118268373,varity
5,0.5,0.6000000000000001,677,0.5516495674092549,0.620384047267356,0.0687344798581011,varity
6,0.6000000000000001,0.7000000000000001,743,0.6533976518546468,0.7200538358008075,0.06665618394616069,varity
7,0.7000000000000001,0.8,1136,0.7550152860844439,0.7869718309859155,0.031956544901471595,varity
8,0.8,0.9,2140,0.8566976945377487,0.8990654205607477,0.042367726022998986,varity
9,0.9,1.0,7075,0.9596682780049731,0.976678445229682,0.017010167224708828,varity
0,0.0,0.1,5214,0.05077384366481666,0.03164556962025317,0.019128274044563492,gmvp
1,0.1,0.2,2354,0.14325885673764907,0.12404418011894647,0.019214676618702603,gmvp
2,0.2,0.30000000000000004,1230,0.24480643884195544,0.2658536585365854,0.021047219694629943,gmvp
3,0.30000000000000004,0.4,891,0.34829908074219484,0.4186307519640853,0.07033167122189043,gmvp
4,0.4,0.5,830,0.4492720490478608,0.5771084337349398,0.12783638468707903,gmvp
5,0.5,0.6000000000000001,881,0.5504258212112271,0.674233825198638,0.12380800398741088,gmvp
6,0.6000000000000001,0.7000000000000001,1029,0.6517831277685101,0.7959183673469388,0.14413523957842866,gmvp
7,0.7000000000000001,0.8,1367,0.7519544070448941,0.880760790051207,0.12880638300631286,gmvp
8,0.8,0.9,2172,0.8548715509213576,0.9286372007366482,0.07376564981529066,gmvp
9,0.9,1.0,5081,0.959675364713926,0.9811060814800237,0.021430716766097646,gmvp
0,0.0,0.1,123,0.04937491360785692,0.0975609756097561,0.048186062001899184,esm2_score
1,0.1,0.2,130,0.15188699610951795,0.11538461538461539,0.036502380724902556,esm2_score
2,0.2,0.30000000000000004,155,0.24820317730737135,0.07096774193548387,0.17723543537188746,esm2_score
3,0.30000000000000004,0.4,222,0.3488125394946182,0.12162162162162163,0.22719091787299658,esm2_score
4,0.4,0.5,304,0.45354495900212805,0.13815789473684212,0.31538706426528595,esm2_score
5,0.5,0.6000000000000001,317,0.5506677077843505,0.13564668769716087,0.4150210200871896,esm2_score
6,0.6000000000000001,0.7000000000000001,364,0.649378423355153,0.11263736263736264,0.5367410607177903,esm2_score
7,0.7000000000000001,0.8,430,0.7499363567577303,0.16744186046511628,0.582494496292614,esm2_score
8,0.8,0.9,514,0.8542629694210039,0.22957198443579765,0.6246909849852063,esm2_score
9,0.9,1.0,5181,0.9895930473596403,0.799459563790774,0.19013348356886628,esm2_score
