compartment,n,genes,patho,alphamissense,gene_prior,gap
Mitochondrion,16626,1118,0.5034283652111151,0.9415121069040409,0.8942689014267456,0.047243205477295214
Peroxisome,1071,74,0.44164332399626516,0.9435822014183997,0.834729224264108,0.10885297715429165
Lysosome,8410,357,0.584423305588585,0.9383132130335883,0.9069516836288435,0.03136152940474479
Endoplasmic ret.,12835,1008,0.4370860927152318,0.9554176119016338,0.9023856805383367,0.05303193136329709
Golgi,5337,551,0.23159078133783023,0.9534759065000327,0.8852602451529306,0.06821566134710211
Nucleus,52770,3805,0.25285199924199353,0.9592421100251813,0.89138360681607,0.06785850320911135
Cell membrane,32852,2353,0.37583708754413736,0.965541003645163,0.9271648251852121,0.038376178459950894
Secreted,20406,1123,0.44163481329020876,0.9625580457893561,0.9346236058317423,0.0279344399576138
Cytoskeleton,12288,630,0.22770182291666666,0.952213081600511,0.9074882631052891,0.04472481849522192
Cytoplasm,11589,1133,0.2890672189144879,0.956642814571396,0.90831978594707,0.048323028624326025
