predictor,level,confidence,family,global,within,change,n_genes_evaluable,headroom_expected,residual
SIFT_score,0,high,SIFT,0.913531671999279,0.8908997755852948,-0.02263189641398422,1359,-0.04685530873505406,0.024223412321069837
Polyphen2_HVAR_score,1,medium,Polyphen2,0.9268696784525983,0.9052861902976439,-0.021583488154954367,1359,-0.04454390692832744,0.02296041877337307
MutationTaster_score,2,medium,MutationTaster,0.9798102445796095,0.9577982821758799,-0.0220119624037296,1359,-0.032890620540922955,0.010878658137193353
MutationAssessor_score,0,high,MutationAssessor,0.9207319086444092,0.889806326872124,-0.030925581772285216,1359,-0.045638770662450534,0.014713188890165319
PROVEAN_score,0,high,PROVEAN,0.9287363548228147,0.898389737829121,-0.030346616993693676,1359,-0.04420037034685237,0.013853753353158693
VEST4_score,2,high,VEST4,0.9623633294107913,0.9328239133754834,-0.029539416035307853,1359,-0.03716854154243715,0.007629125507129297
MutPred2_score,2,high,MutPred,0.9569201561214985,0.927545039829339,-0.029375116292159498,1359,-0.03841516201147943,0.009040045719319934
MVP_score,2,medium,MVP,0.9485526373855738,0.8952130065038011,-0.05333963088177274,1359,-0.040249885530165286,-0.013089745351607451
gMVP_score,2,high,gMVP,0.9655258036821719,0.9218855325740948,-0.04364027110807711,1359,-0.03642502972596634,-0.007215241382110771
MisFit_S_score,0,high,MisFit,0.8698661585667394,0.9200949846342332,0.05022882606749379,1359,-0.05266375850522381,0.1028925845727176
MPC_score,0,medium,MPC,0.8407977313166154,0.8958470835215689,0.05504935220495355,1359,-0.05503675846728584,0.11008611067223939
PrimateAI_score,0,high,PrimateAI,0.8792277124409456,0.8663233035898833,-0.012904408851062255,1359,-0.051645355123231984,0.03874094627216973
DEOGEN2_score,2,medium,DEOGEN2,0.9405701872559001,0.9033464404595883,-0.037223746796311796,1359,-0.041907968861480516,0.004684222065168719
LIST-S2_score,0,medium,LIST-S2,0.8937626466812815,0.8502846453274787,-0.04347800135380275,1359,-0.04981877065584611,0.006340769302043359
VARITY_R_LOO_score,2,high,VARITY,0.9653305355421966,0.9333101972981599,-0.03202033824403672,1359,-0.03647134748355252,0.004451009239515802
ESM1b_score,0,high,ESM1b,0.927972152049072,0.9004925450977147,-0.027479606951357316,1359,-0.04434160678403509,0.016861999832677776
AlphaMissense_score,1,high,AlphaMissense,0.9603605220635403,0.9450653219846843,-0.015295200078855986,1359,-0.037632101707677335,0.02233690162882135
PHACTboost_score,0,low,PHACTboost,0.9777006280356171,0.9561830248178846,-0.02151760321773244,1359,-0.03343075031462506,0.011913147096892618
MutFormer_score,2,low,MutFormer,0.9326971230427574,0.9230241096757754,-0.009673013366982008,1359,-0.043455137612035066,0.03378212424505306
MutScore_score,2,low,MutScore,0.9751876576868219,0.9365968563538333,-0.038590801332988645,1359,-0.03406594465574264,-0.004524856677246003
popEVE_score,0,high,popEVE,0.9220338704601703,0.9300161943444438,0.007982323884273557,1359,-0.04541097308784031,0.05339329697211387
DANN_score,1,high,DANN,0.8559266920400358,0.8118673901768402,-0.04405930186319562,1359,-0.05395069973173949,0.009891397868543872
