predictor,coverage,used,n_scored,n_genes_evaluable,global,within,change,level,confidence,family,representative,excluded_reason
SIFT_score,0.9288644999595763,True,183826,1989,0.9076918361586168,0.8917264994605512,-0.015965336698065657,0,high,SIFT,True,
SIFT4G_score,0.9311939121998545,True,184287,2033,0.9026752429275844,0.8890918015366976,-0.013583441390886741,0,high,SIFT,False,
Polyphen2_HDIV_score,0.9340033551620988,True,184843,2039,0.8949696260549318,0.8779919967529929,-0.016977629301938912,1,medium,Polyphen2,False,
Polyphen2_HVAR_score,0.9340033551620988,True,184843,2039,0.9147602588795856,0.8925698869924757,-0.022190371887109817,1,medium,Polyphen2,True,
MutationTaster_score,0.9266614115934999,True,183390,1957,0.9795914174940344,0.9585498392509371,-0.02104157824309738,2,medium,MutationTaster,True,
MutationAssessor_score,0.9035087719298246,True,178808,1919,0.9164097180125048,0.8892854768862227,-0.02712424112628209,0,high,MutationAssessor,True,
PROVEAN_score,0.9340437788018433,True,184851,1996,0.9175483599981047,0.883527983048626,-0.03402037694947868,0,high,PROVEAN,True,
VEST4_score,0.9601473441668688,True,190017,2045,0.959955942072851,0.9351446410495111,-0.024811301023339838,2,high,VEST4,True,
MetaSVM_score,0.977494138572237,True,193450,2085,0.9291902126590313,0.8720508886856685,-0.057139323973362854,x,high,Meta,True,ensemble
MetaLR_score,0.977494138572237,True,193450,2085,0.9309274603492854,0.8967890131401514,-0.03413844720913406,x,high,Meta,False,ensemble
MetaRNN_score,0.9788483305036786,True,193718,2085,0.9841378773995184,0.9727466526492976,-0.011391224750220807,x,high,Meta,False,ensemble
M-CAP_score,0.8578704826582586,True,169776,1833,0.9296299203202831,0.8804184823528791,-0.049211437967404015,x,high,M-CAP,True,ensemble
REVEL_score,0.9405721966205837,True,186143,2017,0.9659973392164497,0.9325852592546212,-0.03341207996182849,x,high,REVEL,True,ensemble
MutPred2_score,0.9853919071873232,True,195013,2098,0.956569542078226,0.9267360863528689,-0.029833455725357116,2,high,MutPred,True,
MVP_score,0.9259742097178429,True,183254,1982,0.9428316200775231,0.8852250903336909,-0.05760652974383218,2,medium,MVP,True,
gMVP_score,0.9278235912361549,True,183620,1972,0.9607207735986725,0.9125185466036155,-0.04820222699505694,2,high,gMVP,True,
MisFit_D_score,0.968974856496079,True,191764,2028,0.9422240846474954,0.9123607754794315,-0.0298633091680639,0,high,MisFit,False,
MisFit_S_score,0.968974856496079,True,191764,2028,0.8753555255109124,0.9180805456156026,0.04272502010469015,0,high,MisFit,True,
MPC_score,0.8446873231465761,True,167167,1790,0.8494212412669908,0.8939854731037609,0.04456423183677005,0,medium,MPC,True,
PrimateAI_score,0.9575703371331554,True,189507,2003,0.8795094698127686,0.862367455084428,-0.017142014728340538,0,high,PrimateAI,True,
DEOGEN2_score,0.9642806613307462,True,190835,2077,0.9326660347142535,0.886691764826899,-0.045974269887354424,2,medium,DEOGEN2,True,
BayesDel_addAF_score,0.9819558978090387,True,194333,2092,0.9805708037475263,0.9669649667008751,-0.013605837046651192,x,high,BayesDel,False,ensemble
BayesDel_noAF_score,0.9819558978090387,True,194333,2092,0.966531378873607,0.9342054598039425,-0.03232591906966442,x,high,BayesDel,True,ensemble
ClinPred_score,0.9774031853828119,True,193432,2084,0.9786437742447519,0.9719527560561485,-0.006691018188603404,x,high,ClinPred,True,ensemble
LIST-S2_score,0.9636995715094188,True,190720,2077,0.8864431264067145,0.8498060073225671,-0.03663711908414746,0,medium,LIST-S2,True,
VARITY_R_score,0.921638774355243,True,182396,2026,0.9637699472654925,0.9358923872799216,-0.027877559985570843,2,high,VARITY,False,
VARITY_ER_score,0.921638774355243,True,182396,2026,0.9590629233293414,0.9305125485069629,-0.028550374822378544,2,high,VARITY,False,
VARITY_R_LOO_score,0.921638774355243,True,182396,2026,0.9617984581979588,0.931071754796334,-0.030726703401624866,2,high,VARITY,True,
VARITY_ER_LOO_score,0.921638774355243,True,182396,2026,0.9582968360106942,0.9288500990194686,-0.029446736991225575,2,high,VARITY,False,
ESM1b_score,0.986230697712022,True,195179,2100,0.9248167534451991,0.8958976462860861,-0.028919107159112944,0,high,ESM1b,True,
AlphaMissense_score,0.9707433907349018,True,192114,2030,0.9591691479638073,0.942055775802573,-0.017113372161234208,1,high,AlphaMissense,True,
PHACTboost_score,0.9420729242460991,True,186440,2045,0.9768787950574183,0.9578068034653082,-0.019071991592110038,0,low,PHACTboost,True,
MutFormer_score,0.9753820033955858,True,193032,2072,0.9300071345439878,0.9222123941763122,-0.007794740367675579,2,low,MutFormer,True,
MutScore_score,0.9688636914867814,True,191742,2030,0.9737340710576168,0.9337425879302935,-0.03999148312732326,2,low,MutScore,True,
popEVE_score,0.7956736599563424,True,157467,1917,0.9190767551071958,0.9288154861590411,0.009738731051845306,0,high,popEVE,True,
DANN_score,0.9825268817204301,True,194446,2093,0.8417552111910795,0.8013224468667118,-0.04043276432436771,1,high,DANN,True,
fathmm-XF_coding_score,0.9016796022313849,True,178446,1939,0.9101281425381812,0.8450956540652756,-0.06503248847290555,2,medium,fathmm,False,
