predictor,alpha,global,within,change
VARITY_R_LOO,0.0,0.9428765792839645,0.9301489005632622,-0.012727678720702351
VARITY_R_LOO,0.05,0.9423606586861318,0.929441699767737,-0.012918958918394785
VARITY_R_LOO,0.1,0.940559004575207,0.9270653825347305,-0.01349362204047655
VARITY_R_LOO,0.15,0.9375163788346514,0.9226587880276259,-0.014857590807025534
VARITY_R_LOO,0.2,0.9322284083617023,0.9163832046480451,-0.015845203713657163
VARITY_R_LOO,0.25,0.923632705289371,0.906873982347066,-0.01675872294230507
VARITY_R_LOO,0.3,0.9121143496526237,0.8921882251644151,-0.01992612448820863
VARITY_R_LOO,0.35,0.8955462162373736,0.8729915198534567,-0.02255469638391694
VARITY_R_LOO,0.4,0.872908100511798,0.848997324887016,-0.023910775624782055
VARITY_R_LOO,0.45,0.8451056214663124,0.8201911106305101,-0.024914510835802317
VARITY_R_LOO,0.5,0.8117902691280957,0.7860750588416623,-0.02571521028643342
VARITY_R_LOO,0.55,0.7753158589978449,0.752557604982726,-0.022758254015118995
VARITY_R_LOO,0.6,0.7380279816809246,0.7196038089675556,-0.018424172713369047
VARITY_R_LOO,0.65,0.7000059670424975,0.6831240479343668,-0.01688191910813075
VARITY_R_LOO,0.7,0.6641880611881156,0.6479605513106493,-0.01622750987746624
VARITY_R_LOO,0.75,0.632223077810271,0.6221129397795543,-0.010110138030716698
VARITY_R_LOO,0.8,0.6024293384241055,0.5959401636445631,-0.0064891747795423615
VARITY_R_LOO,0.85,0.5738451420224835,0.5650262245826191,-0.008818917439864404
VARITY_R_LOO,0.9,0.547314033547347,0.5393671700299231,-0.007946863517423908
VARITY_R_LOO,0.95,0.5225014467860872,0.5199319124864534,-0.002569534299633802
AlphaMissense,0.0,0.9384285516251105,0.9418510385355267,0.0034224869104161337
AlphaMissense,0.05,0.9379206332242355,0.9414465812787174,0.00352594805448192
AlphaMissense,0.1,0.936183680218637,0.9402517492583939,0.004068069039756983
AlphaMissense,0.15,0.933118856668403,0.9367431875622618,0.0036243308938588292
AlphaMissense,0.2,0.9278150858804681,0.9312439188474905,0.003428832967022344
AlphaMissense,0.25,0.9195135563373125,0.924034097186959,0.004520540849646482
AlphaMissense,0.3,0.9080755487554398,0.9117793605844003,0.0037038118289605126
AlphaMissense,0.35,0.8915665362465113,0.8947736304022061,0.0032070941556948673
AlphaMissense,0.4,0.8692575550001228,0.8716341161267701,0.002376561126647303
AlphaMissense,0.45,0.8419894153495632,0.8449754308147768,0.0029860154652135984
AlphaMissense,0.5,0.8088847175449745,0.810331610927156,0.0014468933821815133
AlphaMissense,0.55,0.7726488374641345,0.7762742836058066,0.0036254461416721506
AlphaMissense,0.6,0.7355532679116065,0.7404730651995057,0.0049197972878992635
AlphaMissense,0.65,0.697996229351466,0.7018637410339009,0.003867511682434932
AlphaMissense,0.7,0.6624299643314865,0.6637766470922597,0.0013466827607732101
AlphaMissense,0.75,0.630843892072116,0.6348571561379147,0.004013264065798716
AlphaMissense,0.8,0.601439221202271,0.6057022737021983,0.004263052499927311
AlphaMissense,0.85,0.5730586277090428,0.572366513476623,-0.0006921142324197715
AlphaMissense,0.9,0.5468453000158336,0.5442552535911724,-0.0025900464246612076
AlphaMissense,0.95,0.5222721458571364,0.5222320278309902,-4.0118026146229724e-05
gMVP,0.0,0.9453018417643179,0.9193138961098231,-0.025987945654494804
gMVP,0.05,0.9448065679273029,0.9178752830560868,-0.0269312848712161
gMVP,0.1,0.9430884325669332,0.9150208644132393,-0.028067568153693934
gMVP,0.15,0.939909164101109,0.9103691376630845,-0.029540026438024558
gMVP,0.2,0.9346619907945606,0.9000528631373657,-0.03460912765719493
gMVP,0.25,0.9262815219046256,0.888523908447598,-0.03775761345702766
gMVP,0.3,0.9147792794385576,0.8698442224060408,-0.04493505703251688
gMVP,0.35,0.8981177986551258,0.847515027516905,-0.05060277113822076
gMVP,0.4,0.8750463236507533,0.8163137363904239,-0.05873258726032937
gMVP,0.45,0.8475843126923127,0.7866861084462349,-0.060898204246077836
gMVP,0.5,0.8136428148401403,0.7521493741073726,-0.061493440732767746
gMVP,0.55,0.776989220715103,0.7209703026473131,-0.05601891806778991
gMVP,0.6,0.739477500906859,0.6911378256168754,-0.04833967528998362
gMVP,0.65,0.7011186494633667,0.6582377274898329,-0.04288092197353377
gMVP,0.7,0.6649198262451906,0.626169091352701,-0.03875073489248959
gMVP,0.75,0.6329479514673455,0.604750291625362,-0.028197659841983524
gMVP,0.8,0.602943888777699,0.5817788291587074,-0.021165059618991622
gMVP,0.85,0.5742454331649628,0.5544140109262774,-0.019831422238685392
gMVP,0.9,0.5475788772840006,0.5329174275349433,-0.014661449749057254
gMVP,0.95,0.5226226292462544,0.5166350089035434,-0.005987620342710942
PolyPhen-2,0.0,0.8617302756802298,0.8876213238763504,0.025891048196120647
PolyPhen-2,0.05,0.8612633097711347,0.8869265871948008,0.02566327742366603
PolyPhen-2,0.1,0.8597265344308213,0.8853040255907526,0.025577491159931354
PolyPhen-2,0.15,0.8570840158432181,0.8829489158904901,0.025864900047271933
PolyPhen-2,0.2,0.8527275899794716,0.8773683363604283,0.024640746380956702
PolyPhen-2,0.25,0.845922582739043,0.8709879766473231,0.02506539390828011
PolyPhen-2,0.3,0.8364276395515422,0.859580551821279,0.023152912269736814
PolyPhen-2,0.35,0.8228450093760793,0.844803571121855,0.021958561745775707
PolyPhen-2,0.4,0.8043526463611759,0.8245119608841879,0.020159314523012006
PolyPhen-2,0.45,0.7827226075381851,0.8012696320720503,0.018547024533865142
PolyPhen-2,0.5,0.7547319863393925,0.770490548138129,0.01575856179873647
PolyPhen-2,0.55,0.7252938129611518,0.7409396453224402,0.01564583236128836
PolyPhen-2,0.6,0.6944937045165978,0.709266265047173,0.014772560530575296
PolyPhen-2,0.65,0.6634777986514018,0.6754634180302234,0.011985619378821588
PolyPhen-2,0.7,0.6335633337164774,0.6416921729794307,0.008128839262953269
PolyPhen-2,0.75,0.6077603144277627,0.617308234038221,0.00954791961045831
PolyPhen-2,0.8,0.583635654707634,0.5919751621140856,0.008339507406451618
PolyPhen-2,0.85,0.5602448976059942,0.562052106677312,0.0018072090713178168
PolyPhen-2,0.9,0.5386149075365532,0.5381854412006604,-0.00042946633589280303
PolyPhen-2,0.95,0.5182923044160767,0.5191817794925944,0.0008894750765177095
SIFT,0.0,0.8288164467978346,0.8670177450688284,0.03820129827099383
SIFT,0.05,0.8284780719285226,0.8676276543527534,0.03914958242423072
SIFT,0.1,0.8279824874407486,0.8658343081456303,0.03785182070488169
SIFT,0.15,0.8270891957486306,0.8636380102933826,0.036548814544752006
SIFT,0.2,0.825583454615138,0.8607506360951629,0.035167181480024845
SIFT,0.25,0.8224310907589786,0.8577920342932182,0.035360943534239575
SIFT,0.3,0.8159132174271342,0.850099459461571,0.034186242034436765
SIFT,0.35,0.804127529662756,0.8364743120468295,0.032346782384073514
SIFT,0.4,0.7876574999042019,0.8180522445637619,0.030394744659560047
SIFT,0.45,0.7658542686281931,0.7954527993309888,0.029598530702795722
SIFT,0.5,0.7376320239695382,0.7630038956154575,0.025371871645919253
SIFT,0.55,0.7089516255446522,0.7344853920734741,0.02553376652882189
SIFT,0.6,0.6796529703711425,0.7022212580176805,0.022568287646538066
SIFT,0.65,0.6500847538813135,0.6687738190127228,0.018689065131409333
SIFT,0.7,0.6224694284435417,0.6357163824836313,0.013246954040089576
SIFT,0.75,0.5985732222225725,0.6132558601793692,0.014682637956796696
