gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp,polyphen2,sift
AAAS,13,8,5,0.95,1.0,1.0,0.9500000000000001,0.8500000000000001
AARS2,34,14,20,0.925,0.9285714285714286,0.9107142857142858,0.9,0.8321428571428571
AASS,14,4,10,0.75,0.775,0.7500000000000001,0.7749999999999999,0.7875
ABCA1,58,5,53,0.9773584905660377,0.9962264150943396,0.9056603773584906,0.9773584905660377,0.7528301886792453
ABCA12,112,19,93,0.9134125636672326,0.9530277306168646,0.9603848330503679,0.9074702886247878,0.9069043576683644
ABCA3,46,24,22,0.9659090909090908,0.9962121212121212,0.9488636363636364,0.9640151515151516,0.9412878787878788
ABCA4,326,307,19,0.9658837647865592,0.9667409566260928,0.9108520486884965,0.9364820846905537,0.9090519458254758
ABCB11,56,36,20,0.9916666666666667,0.9666666666666668,0.9569444444444445,0.9888888888888888,0.9208333333333334
ABCC2,23,6,17,0.9803921568627451,0.9313725490196079,0.8725490196078431,0.9509803921568627,0.9166666666666666
ABCC6,62,36,26,0.9925213675213675,0.954059829059829,0.9668803418803419,0.9503205128205129,0.9807692307692308
ABCC9,20,17,3,1.0,1.0,1.0,1.0,1.0
ABCD1,149,83,66,0.97973713033954,0.9612084702446148,0.9138371668492151,0.9531763417305587,0.8952172325666301
ACAD8,15,9,6,0.888888888888889,1.0,0.9444444444444444,0.9166666666666666,0.8703703703703703
ACAD9,26,16,10,0.9125,0.95,0.93125,0.88125,0.903125
ACADS,22,19,3,0.9824561403508772,0.8245614035087719,0.8771929824561403,0.9824561403508772,0.912280701754386
ACAN,60,6,54,0.8641975308641976,0.9135802469135802,0.7654320987654322,0.4444444444444444,0.7191358024691358
ACP4,14,5,9,0.9333333333333333,1.0,1.0,1.0,0.9777777777777779
ACP5,10,3,7,1.0,1.0,1.0,1.0,1.0
ACSF3,16,4,12,0.9791666666666666,1.0,1.0,0.9791666666666666,0.9375
ACVR1,16,3,13,1.0,0.9230769230769231,1.0,0.9487179487179488,0.8461538461538461
ACVRL1,126,117,9,0.9677113010446344,0.9867046533713201,0.9620132953466287,0.9050332383665717,0.8679962013295347
ADA,23,18,5,0.9444444444444444,0.8333333333333333,0.8666666666666667,0.9444444444444445,0.8
ADA2,20,16,4,1.0,0.953125,0.96875,0.984375,0.8671875
ADAMTS13,51,32,19,0.8453947368421053,0.975328947368421,0.9342105263157895,0.9070723684210527,0.921875
ADAMTS17,11,3,8,0.875,1.0,0.8333333333333333,0.875,0.8125
ADAMTSL2,13,7,6,1.0,1.0,1.0,1.0,1.0
ADAR,11,6,5,1.0,1.0,1.0,0.8333333333333334,0.8833333333333334
ADCY5,51,17,34,0.9757785467128027,0.986159169550173,0.8685121107266437,0.8849480968858131,0.7811418685121108
ADGRG1,16,5,11,0.9818181818181818,1.0,0.8545454545454545,0.9636363636363636,0.9454545454545454
ADGRV1,593,20,573,0.7950261780104713,0.7576788830715532,0.7490401396160559,0.7129144851657941,0.7034031413612565
ADSL,19,14,5,0.7,0.6714285714285715,0.6714285714285715,0.6285714285714286,0.5928571428571429
AFF2,44,4,40,0.5,0.7875000000000001,0.6000000000000001,0.578125,0.60625
AGA,13,7,6,0.8809523809523809,0.9047619047619048,0.8333333333333334,0.8928571428571429,0.9880952380952381
AGL,20,11,9,0.9090909090909091,0.797979797979798,0.8080808080808081,0.8181818181818182,0.7121212121212122
AGPAT2,9,4,5,1.0,1.0,1.0,0.9,0.9750000000000001
AGXT,74,68,6,0.9656862745098039,0.9313725490196079,0.948529411764706,0.9007352941176471,0.8272058823529411
AHCY,7,4,3,1.0,0.9166666666666667,0.8333333333333334,0.5833333333333334,0.6666666666666667
AHI1,36,16,20,0.9875,0.984375,0.96875,0.921875,0.90625
AIFM1,44,21,23,0.8592132505175983,0.8364389233954451,0.7867494824016563,0.8240165631469979,0.8540372670807452
AIPL1,28,15,13,0.9897435897435898,0.9794871794871794,0.958974358974359,0.9743589743589745,0.9435897435897436
AIRE,28,18,10,1.0,0.9722222222222221,0.9833333333333334,0.961111111111111,0.9361111111111111
AK2,10,4,6,0.9583333333333334,1.0,0.9583333333333334,0.875,0.9583333333333334
ALAS2,29,19,10,0.9526315789473684,0.968421052631579,0.9105263157894737,0.8842105263157894,0.8736842105263158
