gene_symbol,n,n_pos,n_neg,varity,alphamissense,gmvp
AAAS,18,13,5,0.9692307692307692,0.8923076923076922,0.9846153846153847
AARS2,43,20,23,0.9304347826086956,0.9173913043478261,0.9108695652173913
AASS,16,5,11,0.8,0.7818181818181819,0.781818181818182
ABAT,13,10,3,0.9666666666666668,1.0,0.9333333333333333
ABCA1,87,17,70,0.9848739495798319,0.9899159663865547,0.9310924369747899
ABCA12,137,33,104,0.9274475524475525,0.9297785547785546,0.958916083916084
ABCA3,62,39,23,0.9732441471571907,0.9966555183946488,0.9587513935340022
ABCA4,678,647,31,0.9669940669093084,0.9659719798574063,0.9269083113127587
ABCB11,91,64,27,0.9820601851851851,0.9675925925925926,0.9490740740740741
ABCB4,55,47,8,0.9414893617021277,0.9015957446808511,0.8377659574468086
ABCB6,21,8,13,0.8173076923076923,0.8557692307692308,0.8365384615384616
ABCC2,47,13,34,0.9660633484162895,0.9660633484162897,0.9140271493212669
ABCC6,133,95,38,0.9872576177285318,0.9501385041551246,0.9706371191135734
ABCC8,59,56,3,0.9583333333333334,0.9761904761904762,0.7559523809523809
ABCC9,36,33,3,1.0,1.0,1.0
ABCD1,288,219,69,0.9759777645423864,0.9653563629144332,0.9191317583217524
ABCD4,25,4,21,0.9404761904761905,0.8928571428571429,0.9761904761904762
ABCG5,23,5,18,0.9777777777777777,0.9222222222222223,0.8111111111111111
ABCG8,28,6,22,1.0,0.9848484848484849,1.0
ABHD12,8,4,4,1.0,1.0,1.0
ABHD5,9,5,4,1.0,1.0,1.0
ACAD8,21,14,7,0.9081632653061225,0.9387755102040817,0.8571428571428572
ACAD9,43,31,12,0.9112903225806452,0.9086021505376345,0.8790322580645161
ACADS,36,31,5,0.9290322580645162,0.7290322580645161,0.832258064516129
ACADSB,13,9,4,1.0,1.0,1.0
ACAN,77,9,68,0.9068627450980393,0.9428104575163397,0.8300653594771242
ACAT1,57,54,3,1.0,0.9567901234567902,0.9691358024691358
ACE,34,5,29,0.9655172413793104,0.9241379310344828,0.793103448275862
ACOX1,11,7,4,1.0,1.0,1.0
ACP4,18,9,9,0.962962962962963,1.0,0.9876543209876543
ACP5,16,6,10,1.0,1.0,1.0
ACSF3,23,8,15,0.9833333333333334,0.9416666666666668,0.8083333333333333
ACTL7A,8,5,3,1.0,1.0,1.0
ACTN1,22,18,4,0.9027777777777778,0.9444444444444444,0.8194444444444444
ACTN2,41,8,33,0.9583333333333333,0.962121212121212,0.962121212121212
ACTN4,29,15,14,0.9904761904761905,0.9571428571428571,0.9
ACVR1,25,10,15,0.98,0.9133333333333333,0.9466666666666668
ACVRL1,249,235,14,0.978419452887538,0.9887537993920972,0.952887537993921
ADA,56,48,8,0.9583333333333333,0.9036458333333334,0.9244791666666666
ADA2,36,31,5,1.0,0.9548387096774194,0.9806451612903226
ADAMTS13,55,36,19,0.8596491228070176,0.9619883040935673,0.9269005847953217
ADAMTS17,15,4,11,0.9318181818181819,1.0,0.8636363636363636
ADAMTS2,19,3,16,1.0,0.9375,0.7916666666666667
ADAMTSL2,19,12,7,1.0,1.0,1.0
ADAR,27,18,9,1.0,1.0,0.9938271604938271
ADCY5,59,24,35,0.9773809523809524,0.9904761904761904,0.8821428571428571
ADGRG1,23,11,12,0.9696969696969697,0.9924242424242424,0.9318181818181818
ADGRV1,618,22,596,0.775091519219036,0.7625838926174497,0.7445851128737034
ADNP,105,8,97,0.8801546391752577,0.9471649484536082,0.961340206185567
ADSL,39,33,6,0.6919191919191919,0.6717171717171717,0.6565656565656566
AFF2,46,4,42,0.5,0.7738095238095237,0.6071428571428572
AFF4,27,6,21,0.9682539682539681,0.9920634920634921,0.9365079365079365
AGA,29,20,9,0.9666666666666667,0.95,0.85
AGBL5,15,5,10,0.98,1.0,0.96
AGL,37,19,18,0.935672514619883,0.8859649122807017,0.8421052631578948
AGPAT2,12,6,6,1.0,1.0,1.0
AGXT,134,122,12,0.9760928961748635,0.9644808743169399,0.962431693989071
AHCY,14,10,4,0.95,0.925,0.875
AHDC1,184,5,179,0.8670391061452514,0.8793296089385475,0.8145251396648046
AHI1,49,23,26,0.9732441471571907,0.9816053511705686,0.9615384615384616
AIFM1,66,43,23,0.9069767441860465,0.8564206268958543,0.8422649140546006
AIPL1,37,22,15,0.9787878787878789,0.9606060606060607,0.9484848484848485
AIRE,51,39,12,0.985042735042735,0.938034188034188,0.9914529914529915
AK2,15,8,7,0.9464285714285715,0.8928571428571428,0.9642857142857143
AKR1C2,7,4,3,0.33333333333333337,0.75,0.33333333333333337
ALAS2,48,36,12,0.912037037037037,0.9328703703703703,0.9166666666666666
ALB,14,7,7,0.653061224489796,0.7346938775510204,0.7142857142857143
ALDH18A1,33,25,8,0.83,0.96,0.925
ALDH1A2,7,4,3,1.0,1.0,0.9166666666666667
ALDH1A3,18,14,4,1.0,1.0,0.9642857142857143
ALDH3A2,43,35,8,0.9821428571428571,0.9678571428571427,0.9285714285714286
ALDH5A1,39,30,9,0.9814814814814815,1.0,0.9851851851851852
ALDH6A1,10,6,4,0.875,1.0,1.0
ALDH7A1,72,65,7,0.9142857142857143,0.9516483516483516,0.8571428571428572
ALDOB,24,21,3,0.7301587301587302,0.873015873015873,0.8571428571428572
ALG1,41,27,14,0.9947089947089948,0.9788359788359788,0.8809523809523809
ALG11,18,12,6,1.0,1.0,1.0
ALG12,15,7,8,1.0,1.0,1.0
ALG13,86,9,77,0.9307359307359307,0.9264069264069265,0.834054834054834
ALG5,9,3,6,1.0,1.0,0.9444444444444444
ALG6,17,8,9,0.9444444444444444,1.0,0.9444444444444444
ALG8,13,6,7,0.9761904761904763,1.0,0.9523809523809524
ALG9,10,4,6,1.0,0.8333333333333334,1.0
ALK,96,16,80,0.9828125,0.99296875,0.83125
ALMS1,226,15,211,0.684044233807267,0.6878357030015797,0.6334913112164298
ALOX12B,74,69,5,0.9768115942028985,0.9826086956521739,0.991304347826087
ALPK1,65,3,62,0.8924731182795699,0.7795698924731183,0.9032258064516129
ALPL,321,316,5,1.0,0.9873417721518989,0.9854430379746836
ALS2,26,12,14,0.9940476190476191,0.9702380952380952,0.9285714285714286
ALX4,13,4,9,1.0,1.0,1.0
AMH,32,11,21,0.9783549783549784,1.0,0.935064935064935
AMHR2,19,13,6,0.8974358974358975,0.8141025641025642,0.8076923076923077
AMN,10,4,6,0.9166666666666667,0.9166666666666667,0.9166666666666667
AMT,40,35,5,0.9714285714285715,0.942857142857143,0.8857142857142857
ANG,10,7,3,0.8571428571428572,0.9047619047619049,1.0
ANK2,153,12,141,0.7848699763593381,0.801418439716312,0.725177304964539
ANKH,11,7,4,0.9642857142857143,0.9285714285714286,1.0
ANKLE2,44,3,41,0.9349593495934959,0.9512195121951219,0.8617886178861788
ANKRD11,269,33,236,0.9409347714432461,0.9312403697996918,0.9609655880842322
ANKRD17,44,13,31,0.9007444168734491,0.8883374689826304,0.8263027295285359
ANO10,15,5,10,0.9,0.88,0.76
ANO3,21,12,9,0.9074074074074074,1.0,0.9259259259259259
ANO5,46,35,11,0.9896103896103896,1.0,0.9532467532467532
ANOS1,35,11,24,0.9204545454545454,0.8409090909090908,0.9053030303030303
ANTXR2,16,11,5,1.0,1.0,1.0
ANXA11,24,4,20,0.4375,0.7375,0.45
AP1G1,8,4,4,0.6875,0.875,0.875
AP3B1,12,3,9,0.9259259259259259,0.888888888888889,0.9259259259259259
AP4B1,14,3,11,1.0,1.0,1.0
APC,89,22,67,0.9145183175033922,0.9314789687924017,0.8534599728629578
APOA1,19,16,3,0.9791666666666667,0.9791666666666667,0.9791666666666667
APOE,21,13,8,0.9326923076923077,0.8557692307692308,0.8076923076923077
APP,46,25,21,0.8514285714285714,0.7885714285714286,0.9904761904761905
APRT,30,27,3,1.0,0.9629629629629629,0.9382716049382717
AQP1,12,3,9,0.888888888888889,0.7407407407407407,0.8518518518518519
AQP2,34,29,5,0.8827586206896552,0.9862068965517242,0.9655172413793104
AQP5,11,5,6,0.8666666666666667,0.8333333333333334,0.9333333333333333
AR,215,184,31,0.9679172510518934,0.9715988779803647,0.957398316970547
ARFGEF1,28,6,22,0.9318181818181819,0.9772727272727273,0.8787878787878789
ARID1A,260,30,230,0.8972463768115942,0.9082608695652176,0.8856521739130435
ARL13B,12,6,6,0.9722222222222223,1.0,0.9444444444444445
ARMC9,26,4,22,0.9545454545454546,1.0,1.0
ARPC1B,10,3,7,0.9047619047619049,0.9047619047619049,0.8571428571428571
ARR3,10,3,7,0.6190476190476191,0.8095238095238095,0.7619047619047619
ARSB,95,86,9,0.9599483204134367,0.9857881136950905,0.9521963824289406
ARSG,19,6,13,1.0,1.0,1.0
ARX,53,26,27,0.982905982905983,0.9871794871794872,0.9743589743589745
ASCC3,17,5,12,1.0,1.0,1.0
ASH1L,73,3,70,0.5619047619047619,0.7904761904761904,0.5571428571428572
ASL,105,100,5,1.0,0.972,0.986
ASNS,32,27,5,0.9925925925925927,0.9777777777777777,0.9703703703703703
ASPA,69,63,6,0.9867724867724867,0.9550264550264551,0.9708994708994709
ASPM,100,3,97,0.9828178694158076,0.9828178694158075,1.0
ASS1,80,75,5,0.9946666666666667,0.9866666666666667,0.9573333333333334
ASXL1,209,3,206,0.6051779935275081,0.7103559870550162,0.6359223300970874
ATF6,19,6,13,1.0,0.9230769230769231,0.8717948717948718
ATG4D,9,5,4,1.0,1.0,0.8
ATG7,12,4,8,0.90625,0.90625,0.78125
ATL1,69,66,3,0.9595959595959597,0.9595959595959597,0.9595959595959597
ATM,256,94,162,0.9210007880220645,0.9272721302863147,0.9135145784081953
ATN1,41,9,32,0.9652777777777778,1.0,0.9826388888888888
ATP11A,15,3,12,0.7777777777777779,0.75,0.8611111111111112
ATP13A2,21,5,16,0.95,1.0,1.0
ATP1A1,36,24,12,0.96875,0.9756944444444444,0.9548611111111112
ATP1A2,77,69,8,0.9583333333333334,0.9873188405797102,0.9655797101449275
ATP2A1,7,3,4,1.0,1.0,1.0
ATP2A2,49,41,8,1.0,0.9878048780487805,0.9359756097560976
ATP2B1,16,10,6,0.9,0.9333333333333333,1.0
ATP2B3,39,6,33,0.7929292929292928,0.8232323232323231,0.47474747474747475
ATP5F1A,12,5,7,0.9142857142857144,0.8857142857142858,0.9428571428571428
ATP5MC3,6,3,3,1.0,1.0,1.0
ATP6AP1,29,8,21,0.9464285714285715,0.9702380952380952,0.9345238095238095
ATP6V0A2,12,4,8,0.9375,0.90625,0.8125
ATP6V0A4,22,12,10,1.0,1.0,0.9916666666666667
ATP6V1B1,12,8,4,0.78125,1.0,1.0
ATP6V1B2,20,13,7,1.0,1.0,1.0
ATP7A,241,40,201,0.9159203980099503,0.9611318407960199,0.9486318407960199
ATP7B,225,200,25,0.9292,0.9331,0.9354
ATP8A2,13,6,7,0.7619047619047619,0.9285714285714286,0.9047619047619048
ATP8B1,33,21,12,0.996031746031746,0.9722222222222222,0.9682539682539683
AUH,10,7,3,1.0,1.0,1.0
AUTS2,130,17,113,0.9219156689224361,0.8662155127537742,0.6965122332118687
AVIL,11,3,8,0.8333333333333334,0.8333333333333333,0.75
AVP,32,27,5,0.9555555555555556,0.9777777777777777,0.9703703703703703
AVPR2,81,50,31,0.9761290322580645,0.9993548387096775,0.952258064516129
B3GALNT2,9,4,5,0.9500000000000001,0.9,0.9500000000000001
B3GALT6,21,18,3,1.0,0.7962962962962963,0.9074074074074074
B3GAT3,15,12,3,0.9444444444444445,0.888888888888889,0.9166666666666667
B3GLCT,11,4,7,1.0,1.0,1.0
B4GALNT1,13,5,8,1.0,1.0,1.0
B9D1,8,5,3,0.8666666666666667,0.8,0.7333333333333334
B9D2,8,5,3,1.0,1.0,1.0
BAAT,14,4,10,1.0,1.0,0.9500000000000001
BAG3,25,7,18,0.9761904761904763,1.0,0.9920634920634921
BAP1,55,27,28,0.9497354497354498,0.8908730158730158,0.9047619047619048
BAZ2B,72,5,67,0.7850746268656716,0.6776119402985075,0.6029850746268657
BBS1,22,19,3,0.8421052631578948,0.8421052631578948,0.7894736842105263
BBS10,33,28,5,0.9928571428571429,0.9857142857142858,1.0
BBS12,27,13,14,0.9505494505494505,0.9395604395604396,0.9010989010989011
BBS4,17,9,8,0.9166666666666667,0.8888888888888888,0.8194444444444444
BBS9,19,8,11,0.9318181818181818,0.9318181818181819,0.9090909090909091
BCAT2,11,3,8,1.0,1.0,1.0
BCHE,15,12,3,1.0,1.0,0.9444444444444444
BCKDHA,56,48,8,0.9765625,0.96875,0.9453125
BCKDHB,70,66,4,1.0,0.9810606060606061,0.9962121212121212
BCKDK,6,3,3,1.0,1.0,1.0
BCL11A,28,16,12,0.8489583333333334,0.84375,0.8437500000000001
BCL11B,56,11,45,0.9313131313131313,0.9818181818181818,0.9353535353535354
BCS1L,42,37,5,0.9675675675675676,0.9081081081081082,0.9243243243243243
BGN,11,3,8,0.6666666666666666,1.0,0.8333333333333334
BHLHA9,8,4,4,1.0,1.0,1.0
BICD2,110,33,77,0.9590712317985046,0.9862258953168044,0.8850846123573397
BICRA,50,3,47,0.8297872340425532,0.8652482269503546,0.624113475177305
BIN1,9,4,5,1.0,1.0,1.0
BIRC3,9,4,5,0.85,1.0,0.9500000000000001
BLM,47,9,38,1.0,0.9970760233918129,0.9152046783625731
BMP1,17,10,7,0.9285714285714285,0.8999999999999999,0.8285714285714285
BMP15,18,7,11,0.5844155844155844,0.6363636363636364,0.7402597402597403
BMP2,10,3,7,0.8571428571428572,0.6190476190476191,0.7142857142857142
BMP4,12,4,8,0.96875,0.9375,0.96875
BMPER,10,3,7,1.0,1.0,0.8571428571428572
BMPR1A,29,25,4,0.93,0.89,0.94
BMPR2,136,83,53,0.9727210729711299,0.9627187997272108,0.9713571266196863
BRAF,115,102,13,0.9939668174962293,0.9992458521870287,0.9932126696832579
BRAT1,39,9,30,0.9592592592592593,0.9351851851851852,0.9592592592592593
BRCA1,422,79,343,0.9716942835000184,0.9650699339410268,0.9651621950769458
BRD4,25,3,22,1.0,1.0,1.0
BRIP1,62,9,53,0.9287211740041929,0.9528301886792453,0.9643605870020965
BRPF1,27,7,20,0.9642857142857142,1.0,0.95
BRWD3,45,8,37,0.8885135135135135,0.831081081081081,0.7668918918918919
BSND,13,9,4,1.0,1.0,1.0
C1GALT1C1,12,6,6,0.888888888888889,0.9166666666666667,0.7777777777777778
C1QBP,11,4,7,1.0,1.0,1.0
C2CD3,74,7,67,0.9402985074626865,0.9232409381663113,0.9232409381663114
C3,18,11,7,0.7402597402597403,0.7662337662337662,0.6883116883116883
CA2,8,5,3,0.6666666666666667,0.7333333333333334,0.6666666666666667
CACNA1A,63,51,12,0.9852941176470589,0.8937908496732027,0.9281045751633987
CACNA1D,12,8,4,1.0,1.0,0.78125
CACNA1E,370,30,340,0.9005882352941177,0.9131372549019607,0.9414705882352942
CACNA1F,18,5,13,0.9384615384615385,0.8923076923076922,0.8307692307692307
CACNA1G,128,28,100,0.9892857142857143,0.9846428571428572,0.9860714285714286
CACNA1H,318,7,311,0.7459807073954984,0.7540192926045016,0.7037207165824528
CACNA1I,32,5,27,0.9777777777777779,0.9703703703703703,0.925925925925926
CACNA1S,89,20,69,0.8891304347826087,0.9572463768115942,0.9043478260869565
CAMK2B,85,10,75,0.9826666666666667,1.0,0.976
CAMTA1,72,10,62,0.9467741935483871,0.9854838709677419,0.9709677419354839
CANT1,22,15,7,1.0,0.9904761904761905,0.9714285714285715
CAPN1,14,5,9,0.9111111111111112,0.9333333333333333,0.9555555555555556
CAPN15,27,5,22,1.0,1.0,1.0
CAPN3,136,125,11,0.8465454545454545,0.9680000000000001,0.92
CAPN5,23,4,19,0.9342105263157894,0.9342105263157894,0.9210526315789473
CARD11,114,14,100,1.0,0.9964285714285714,0.9985714285714286
CARD14,52,11,41,0.9268292682926829,0.9844789356984479,0.9445676274944568
CARMIL2,23,5,18,1.0,1.0,0.9444444444444444
CASK,43,27,16,0.9467592592592592,0.9375,0.9166666666666666
CASQ1,11,3,8,0.4583333333333333,0.5833333333333333,0.5416666666666666
CASQ2,17,9,8,0.9583333333333334,0.9583333333333333,0.8888888888888888
CASR,76,71,5,0.8845070422535211,0.9507042253521126,0.8901408450704226
CAV3,18,15,3,0.9111111111111112,0.9333333333333333,0.9555555555555556
CBL,40,18,22,0.9974747474747475,0.9873737373737373,0.9848484848484848
CBS,113,108,5,0.9870370370370372,0.9962962962962963,0.9833333333333334
CC2D2A,59,37,22,0.9533169533169532,0.9361179361179361,0.9766584766584767
CCBE1,11,5,6,1.0,1.0,0.8666666666666667
CCDC22,20,3,17,0.8235294117647058,0.9019607843137254,0.9411764705882353
