predictor,uniprot_acc,gene_symbol,set,n_variants,pathogenic_fraction,auroc,separation,frac_ambiguous
alphamissense,A3KMH1,VWA8,mito,11,0.09090909090909091,0.9,1.7055115533298513,0.18181818181818182
alphamissense,O00142,TK2,mito,44,0.9318181818181818,0.934959349593496,2.546167469748372,0.13636363636363635
alphamissense,O00170,AIP,mito,10,0.5,1.0,2.681872020974899,0.1
alphamissense,O00330,PDHX,mito,12,0.16666666666666666,0.55,0.729636589046188,0.0
alphamissense,O00411,POLRMT,mito,45,0.15555555555555556,0.9736842105263158,3.0790241899685666,0.044444444444444446
alphamissense,O00429,DNM1L,mito,36,0.9722222222222222,0.9714285714285714,7.77139049146188,0.0
alphamissense,O00462,MANBA,control,15,0.2,0.9722222222222222,3.519083164070125,0.13333333333333333
alphamissense,O14521,SDHD,mito,31,0.8709677419354839,1.0,5.115085717481221,0.0
alphamissense,O14526,FCHO1,control,14,0.14285714285714285,1.0,12.567867297635651,0.07142857142857142
alphamissense,O14802,POLR3A,control,29,0.7586206896551724,0.9805194805194806,3.8908959531890357,0.034482758620689655
alphamissense,O14832,PHYH,mito,11,0.7272727272727273,1.0,4.129341088910356,0.0
alphamissense,O14905,WNT9B,control,11,0.09090909090909091,1.0,3.267978820067734,0.18181818181818182
alphamissense,O15091,PRORP,mito,14,0.35714285714285715,0.9555555555555555,2.765680316037594,0.14285714285714285
alphamissense,O15160,POLR1C,control,20,0.85,1.0,6.514339709922289,0.05
alphamissense,O15270,SPTLC2,mito,24,0.4166666666666667,0.8071428571428572,1.6961535108524999,0.08333333333333333
alphamissense,O15382,BCAT2,mito,11,0.2727272727272727,1.0,6.647139548026589,0.09090909090909091
alphamissense,O15457,MSH4,control,10,0.5,0.84,1.4917115285610614,0.0
alphamissense,O15528,CYP27B1,mito,38,0.8947368421052632,1.0,3.4534127029577224,0.2631578947368421
alphamissense,O15553,MEFV,control,18,0.5555555555555556,0.5750000000000001,0.5114825231286316,0.1111111111111111
alphamissense,O43175,PHGDH,control,15,0.8,0.7222222222222222,0.5308324105958763,0.06666666666666667
alphamissense,O43186,CRX,control,27,0.6296296296296297,1.0,7.362759721035767,0.07407407407407407
alphamissense,O43272,PRODH,mito,17,0.11764705882352941,0.9,1.6089779172417829,0.058823529411764705
alphamissense,O43295,SRGAP3,control,10,0.1,1.0,8.484361052488214,0.1
alphamissense,O43405,COCH,control,26,0.7692307692307693,0.9916666666666667,3.406773842936749,0.15384615384615385
alphamissense,O43424,GRID2,control,11,0.45454545454545453,1.0,8.197815192550985,0.09090909090909091
alphamissense,O43772,SLC25A20,mito,11,0.8181818181818182,0.9444444444444444,3.983936567614662,0.0
alphamissense,O43791,SPOP,control,12,0.8333333333333334,1.0,7.945156918474533,0.0
alphamissense,O60260,PRKN,mito,33,0.5757575757575758,0.9360902255639098,2.5049303731549535,0.0
