DMS_id,gene,uniprot_acc,n_substitutions,alignment_identity,position_mapping_ok,AlphaMissense_spearman,AlphaMissense_n,gMVP_spearman,gMVP_n,VARITY_spearman,VARITY_n,ESM-2 zero-shot_spearman,ESM-2 zero-shot_n
CASP3_HUMAN_Roychowdhury_2020,CASP3,P42574,1507,1.0,1.0,0.6509011457871037,1507,0.6224624054136749,1493,0.6139846639619544,1493,0.6474846663169637,1507
OTC_HUMAN_Lo_2023,OTC,P00480,1570,1.0,1.0,0.5719325730709284,1570,0.591641635809878,1570,0.5578459145795259,1570,0.5309452474716275,1570
PRKN_HUMAN_Clausen_2023,PRKN,O60260,8756,1.0,1.0,0.6372357233946664,8756,0.5249329612547041,2712,0.6509881021451496,2712,0.501211524063708,8756
